week,match_key,off_pass_att,off_pass_cmp,off_pass_cmp_pct,off_pass_yds_per_att,off_pass_pass_yds,off_pass_td,off_pass_int,off_pass_rate,off_pass_1st,off_pass_1st_pct,off_pass_20_plus,off_pass_40_plus,off_pass_lng,off_pass_sck,off_pass_scky,off_rush_att,off_rush_rush_yds,off_rush_ypc,off_rush_td,off_rush_20_plus,off_rush_40_plus,off_rush_lng,off_rush_rush_1st,off_rush_rush_1st_pct,off_rush_rush_fum,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td,def_pass_int,def_pass_1st,def_pass_1st_pct,def_pass_sck,def_rush_att,def_rush_rush_yds,def_rush_ypc,def_rush_td,def_rush_rush_1st,def_rush_rush_1st_pct,win_or_lose
w_02,Bears_Chiefs,33,20,60.6,6.5,213.5,1,1.5,70.7,10.5,31.8,3.5,0,33,5,34.5,22.5,94.5,4.2,1,0.5,0,29,6.5,28.9,0.5,38.5,22.5,58.4,5.8,223.5,0.5,0,12.5,32.5,2.5,26,96,3.7,0.5,4.5,17.3,0
w_02,Bengals_Rams,36.5,20.5,56.2,4.2,152,1,0.5,69.7,8,21.9,1,0,32,1.5,10.5,17.5,70.5,4,0,0.5,0,22,3,17.1,0,25.5,16.5,64.7,5.9,150.5,0.5,0,9,35.3,1.5,23,122,5.3,1.5,5.5,23.9,1
w_02,Bills_Commanders,39,30,76.9,6.5,255,2,1.5,94.5,14,35.9,1.5,0.5,40,3.5,13,28.5,140,4.9,1,0.5,0,36,9,31.6,1,31,19.5,62.9,6.3,195.5,1.5,0.5,8.5,27.4,5,24,109,4.5,0.5,7,29.2,1
w_02,Broncos_Dolphins,33,22.5,68.2,7.4,242.5,2.5,0.5,108.5,9.5,28.8,3,1.5,60,4.5,21,22.5,108,4.8,0.5,0,0,15,7.5,33.3,0,37.5,27,72,5.3,200,1,0.5,10,26.7,3.5,32.5,160.5,4.9,2,13.5,41.5,0
w_02,Browns_Titans,34.5,19,55.1,5.6,194.5,1,1,69,10.5,30.4,2,0,33,4.5,17.5,37.5,202,5.4,1,1,0.5,69,9.5,25.3,1.5,37,25,67.6,7.6,281.5,1.5,0.5,13,35.1,3.5,24,65,2.7,0,3,12.5,1
w_02,Buccaneers_Eagles,34,23.5,69.1,7.2,245,1.5,0,104.4,9.5,27.9,3.5,0.5,70,0.5,2,33.5,96.5,2.9,0.5,0,0,14,6.5,19.4,0,49,33,67.4,6.6,326,3.5,0.5,18.5,37.8,2,15.5,52,3.4,0,2.5,16.1,0
w_02,Cardinals_Cowboys,30.5,21,68.8,5.9,180,0.5,0,89.5,10,32.8,2,0,31,1.5,9,27,123.5,4.6,1,2,0,29,7,25.9,1,28.5,14.5,50.9,3.8,107,0.5,2.5,5.5,19.3,5,22,86,3.9,0,5,22.7,1
w_02,Chargers_Vikings,37,25,67.6,7.2,267,1.5,0,102,12,32.4,3.5,0.5,42,3,26.5,30.5,147,4.8,1.5,0.5,0.5,55,10.5,34.4,0,28.5,19.5,68.4,6,170,1.5,0.5,6.5,22.8,2.5,40.5,166,4.1,1.5,12,29.6,1
w_02,Chiefs_Bears,40,25,62.5,6.6,265.5,2,1,88.1,11,27.5,3,0.5,54,0.5,3.5,22.5,95.5,4.2,0,0.5,0,31,6.5,28.9,0,30.5,20.5,67.2,9.1,277,2,0,10,32.8,0.5,33,106,3.2,1,6.5,19.7,1
w_02,Colts_Ravens,36,24.5,68.1,6.2,225,1,0.5,88.3,12.5,34.7,2.5,0.5,43,2,4,24.5,95.5,3.9,2,0,0,18,5,20.4,0.5,42.5,27.5,64.7,4.8,206,1,0.5,13,30.6,3,19,69,3.6,0,2.5,13.2,1
