match_key,off_pass_att,off_pass_cmp,off_pass_cmp_pct,off_pass_yds_per_att,off_pass_pass_yds,off_pass_td,off_pass_int,off_pass_rate,off_pass_1st,off_pass_1st_pct,off_pass_20_plus,off_pass_40_plus,off_pass_lng,off_pass_sck,off_pass_scky,off_rush_att,off_rush_rush_yds,off_rush_ypc,off_rush_td,off_rush_20_plus,off_rush_40_plus,off_rush_lng,off_rush_rush_1st,off_rush_rush_1st_pct,off_rush_rush_fum,def_pass_att,def_pass_cmp,def_pass_cmp_pct,def_pass_yds_per_att,def_pass_yds,def_pass_td,def_pass_int,def_pass_1st,def_pass_1st_pct,def_pass_sck,def_rush_att,def_rush_rush_yds,def_rush_ypc,def_rush_td,def_rush_rush_1st,def_rush_rush_1st_pct
Bears_Commanders,30.75,19.75,64.2,7.0,215.25,1.75,1.25,86.8,10.75,35.0,3.5,0.0,33.0,4.25,29.0,25.5,119.0,4.7,0.5,1.0,0.0,29.0,6.5,25.5,0.25,32.75,21.0,64.1,7.0,230.0,1.5,0.5,10.25,31.3,3.25,27.0,122.5,4.5,1.0,7.5,27.8
Commanders_Bears,35.0,23.5,67.1,6.9,240.25,1.0,1.25,81.3,10.25,29.3,2.75,0.0,37.0,6.0,39.0,23.0,106.5,4.6,1.25,0.75,0.0,27.0,8.0,34.8,0.75,31.75,22.25,70.1,8.4,267.75,2.5,0.5,11.25,35.4,0.5,30.5,115.5,3.8,1.0,7.75,25.4
Jaguars_Bills,36.5,24.75,67.8,6.5,237.75,1.0,0.5,89.2,12.0,32.9,2.5,0.25,45.0,2.0,8.5,28.0,100.0,3.6,0.75,0.5,0.0,26.0,5.5,19.6,0.25,27.5,18.5,67.3,6.2,169.5,0.75,2.0,9.25,33.6,4.0,18.75,118.5,6.3,0.5,5.0,26.7
Bills_Jaguars,33.75,25.25,74.8,7.8,262.0,2.25,1.0,106.6,13.0,38.5,2.75,0.75,55.0,2.25,9.0,29.75,138.0,4.6,1.5,1.0,0.0,36.0,9.0,30.2,0.5,35.25,23.0,65.2,6.8,238.25,1.5,1.0,11.5,32.6,2.25,24.0,94.75,4.0,0.5,5.25,21.9
Texans_Falcons,38.0,23.75,62.5,8.0,304.5,1.75,0.0,102.9,14.0,36.8,4.25,1.0,68.0,2.75,23.25,28.25,87.25,3.1,0.25,0.0,0.0,14.0,4.25,15.0,0.5,31.5,19.75,62.7,5.6,176.25,1.5,0.75,10.25,32.5,1.25,29.0,114.5,4.0,0.25,5.5,19.0
Falcons_Texans,29.75,18.5,62.2,6.2,186.0,0.75,0.75,77.8,9.0,30.2,2.0,0.25,45.0,4.0,29.75,28.25,128.0,4.5,0.75,1.0,0.0,38.0,7.75,27.4,0.0,31.25,22.25,71.2,6.2,195.25,0.5,0.75,9.5,30.4,1.75,26.75,116.5,4.4,1.75,7.0,26.2
Panthers_Lions,40.25,25.25,62.7,5.4,216.0,1.0,0.5,79.8,11.25,28.0,1.75,0.25,47.0,3.5,28.75,24.0,95.25,4.0,0.25,0.5,0.0,26.0,5.75,24.0,0.5,38.5,24.25,63.0,5.7,219.75,1.25,0.75,11.5,29.9,3.25,20.0,60.75,3.0,0.75,4.5,22.5
Lions_Panthers,32.75,22.75,69.5,7.8,257.25,1.5,0.75,98.4,12.5,38.2,4.5,0.25,45.0,1.25,7.5,33.75,136.5,4.0,1.5,0.5,0.25,40.0,7.75,23.0,0.25,27.5,18.0,65.4,6.4,176.75,1.0,1.0,10.0,36.4,3.0,28.75,136.25,4.7,1.5,7.75,27.0
Titans_Colts,27.25,17.0,62.4,7.2,197.5,0.75,1.0,78.2,8.25,30.3,3.0,1.0,70.0,4.0,28.5,26.0,111.0,4.3,0.75,0.75,0.0,29.0,6.0,23.1,0.25,37.5,25.75,68.7,7.0,263.75,1.25,0.5,12.75,34.0,3.5,33.5,126.75,3.8,1.5,8.0,23.9
Colts_Titans,35.25,21.75,61.7,6.2,219.25,1.25,0.25,88.3,11.0,31.2,3.0,0.25,43.0,2.75,12.75,28.75,115.75,4.0,1.25,1.0,0.0,24.0,6.5,22.6,0.75,34.25,24.25,70.8,7.0,241.25,1.25,0.25,11.5,33.6,3.25,24.25,70.0,2.9,0.25,4.5,18.6
